,company_name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,industry
0,TCS,3.9,(47k Reviews),Public,"Mumbai,Maharashtra + 267 more",54 years old,1 Lakh+ Employees (India),BPO / Call Centre
1,Accenture,4.2,(31.2k Reviews),Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India),IT Services & Consulting
2,Cognizant,3.9,(28.4k Reviews),Private,Teaneck. New Jersey. + 93 more,28 years old,1 Lakh+ Employees (India),IT Services & Consulting
3,ICICI Bank,4,(33.8k Reviews),Public,"Mumbai,Maharashtra + 1021 more",28 years old,1 Lakh+ Employees (India),Financial Services
4,HDFC Bank,4,(38.2k Reviews),Public,"Mumbai,Maharashtra + 1172 more",28 years old,1 Lakh+ Employees (India),Financial Services
5,Wipro,3.9,(27.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",77 years old,1 Lakh+ Employees (India),IT Services & Consulting
6,Infosys,3.9,(27k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India),IT Services & Consulting
7,Capgemini,3.9,(23k Reviews),Public,Paris + 76 more,55 years old,1 Lakh+ Employees (India),Internet
8,Tech Mahindra,3.8,(20.9k Reviews),Public,"Pune,Maharashtra + 209 more",36 years old,50k-1 Lakh Employees (India),Consulting
9,Genpact,4,(20.3k Reviews),Public,"New York,New York + 65 more",25 years old,50k-1 Lakh Employees (India),IT Services & Consulting
10,HCL Technologies,3.9,(17.5k Reviews),Public,"Noida,Uttar Pradesh + 138 more",31 years old,1 Lakh+ Employees (India),Financial Services
11,Axis Bank,3.9,(18.4k Reviews),Public,"Mumbai,Maharashtra + 1046 more",29 years old,1 Lakh+ Employees (India),Financial Services
12,Amazon,4.2,(16.9k Reviews),Public,"Seattle,Washington + 351 more",28 years old,1 Lakh+ Employees (India),Internet
13,IBM,4.2,(20.8k Reviews),Public,"Armonk,New York + 115 more",111 years old,1 Lakh+ Employees (India),BPO/KPO
14,Concentrix Corpo...,4.1,(14.9k Reviews),Public,"Fremont,California + 67 more",39 years old,10k-50k Employees (India),BPO/KPO
15,Larsen & Toubro ...,4.1,(24k Reviews),Public,"Mumbai,Maharashtra + 514 more",84 years old,10k-50k Employees (India),Industrial Equipment / Machinery
16,Reliance jio,4,(14.4k Reviews),Public,"Navi Mumbai,Maharashtra + 939 more",15 years old,50k-1 Lakh Employees (India),Telecom / ISP
17,Vodafone Idea,4.2,(13.7k Reviews),Public,"Gandhinagar,Gujrat + 557 more",4 years old,10k-50k Employees (India),Telecom / ISP
18,HDB Financial Se...,4,(12.9k Reviews),Private,"Ahmedabad,Gujrat + 750 more",15 years old,1 Lakh+ Employees (India),Financial Services
19,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 119 more,44 years old,50k-1 Lakh Employees (India),BPO / Call Centre
20,Kotak Mahindra B...,3.9,(13.3k Reviews),Public,"Mumbai,Maharashtra + 466 more",19 years old,50k-1 Lakh Employees (India),Financial Services
21,Reliance Industr...,4.1,(41.6k Reviews),Public,"Navi Mumbai,Maharashtra + 460 more",49 years old,1 Lakh+ Employees (India),Manufacturing
22,Bharti Airtel,4.1,(12.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 493 more",27 years old,10k-50k Employees (India),Telecom / ISP
23,Deloitte,4.1,(9.9k Reviews),Private,"New York,New York + 130 more",177 years old,50k-1 Lakh Employees (India),Consulting
24,Tata Motors,4,(12.1k Reviews),Public,"Pune,Maharashtra + 381 more",77 years old,10k-50k Employees (India),Automobile
25,Reliance Retail,4.1,(14.6k Reviews),Private,"Navi Mumbai,Maharashtra + 604 more",16 years old,1 Lakh+ Employees (India),Gems & Jewellery
26,WNS,3.7,(6.8k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India),BPO/KPO
27,Mahindra & Mahin...,3.9,(38.2k Reviews),Public,"Mumbai,Maharashtra + 404 more",77 years old,1 Lakh+ Employees (India),Automobile
28,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 540 more",28 years old,10k-50k Employees (India),Financial Services
29,Flipkart,4.2,(10.8k Reviews),Public,"Bangalore,Karnataka + 417 more",15 years old,50k-1 Lakh Employees (India),Internet
30,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 56 more",5 years old,10k-50k Employees (India),IT Services & Consulting
31,Hinduja Global S...,4,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 73 more",22 years old,10k-50k Employees (India),BPO / Call Centre
32,BYJU'S,3.6,(10.6k Reviews),Private,"Bangalore,Karnataka + 175 more",11 years old,1k-5k Employees (India),Internet
33,Ernst & Young,3.8,(5.9k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India),Consulting
34,Maruti Suzuki,4.1,(5.8k Reviews),Public,"New Delhi,Delhi + 372 more",39 years old,10k-50k Employees (India),Automobile
35,Infosys BPM,4,(5.6k Reviews),"Bangalore/Bengaluru,Karnataka + 46 more",20 years old,10k-50k Employees (India),,BPO/KPO
36,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 53 more",20 years old,10k-50k Employees (India),Financial Services
37,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 130 more",146 years old,10k-50k Employees (India),Internet
38,Bajaj Finserv,4.1,(5.1k Reviews),Public,"Pune,Maharashtra + 645 more",15 years old,10k-50k Employees (India),FinTech / Payments
39,IDFC FIRST Bank,4,(5k Reviews),Public,"Mumbai,Maharashtra + 370 more",4 years old,10k-50k Employees (India),Financial Services
40,Conneqt Business...,3.7,(5k Reviews),Private,"Mumbai,Maharashtra + 151 more",20 years old,10k-50k Employees (India),BPO/KPO
41,Dr. Reddy's,4.2,(4.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 129 more",36 years old,10k-50k Employees (India),Clinical Research / Contract Research
42,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 49 more",5 years old,5k-10k Employees (India),BPO/KPO
43,Mphasis,3.8,(4.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 40 more",24 years old,10k-50k Employees (India),Hardware & Networking
44,Sutherland Globa...,3.9,(5k Reviews),Private,"Pittsford,New York + 39 more",36 years old,10k-50k Employees (India),Facility Management Services
45,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 184 more",87 years old,10k-50k Employees (India),Manufacturing
46,Jana Small Finan...,3.9,(4.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 305 more",16 years old,10k-50k Employees (India),Banking
47,Yes Bank,4,(4.5k Reviews),Public,"Mumbai,Maharashtra + 353 more",18 years old,10k-50k Employees (India),Financial Services
48,Asian Paints,4.3,(4.7k Reviews),Public,"Mumbai,Maharashtra + 333 more",80 years old,10k-50k Employees (India),Chemicals / Agri Inputs
49,ICICI Prudential...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 395 more",22 years old,10k-50k Employees (India),Financial Services
50,HCL Group,3.9,(23.5k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,,IT Services & Consulting
51,NTT DATA,4,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 38 more",34 years old,10k-50k Employees (India),IT Services & Consulting
52,Udaan,4.1,(4.2k Reviews),Private,"Bangalore,Karnataka + 293 more",6 years old,1k-5k Employees (India),Consumer goods
53,Indian Army,4.7,(4.1k Reviews),Public,"New Delhi,Delhi + 263 more",127 years old,1 Lakh+ Employees (India),Defence & Aerospace
54,HDFC Life,4,(5.4k Reviews),Public,"Mumbai,Maharashtra + 398 more",22 years old,10k-50k Employees (India),Financial Services
55,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 28 more",23 years old,10k-50k Employees (India),BPO/KPO
56,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 101 more,10 years old,5k-10k Employees (India),NBFC
57,L&T Infotech,3.9,(3.9k Reviews),Public,"Mumbai,Maharashtra + 76 more",26 years old,10k-50k Employees (India),IT Services & Consulting
58,PwC,3.8,(3.9k Reviews),Partnership,London + 60 more,24 years old,10k-50k Employees (India),Consulting
59,Lupin,4.1,(3.9k Reviews),Public,"Mumbai,Maharashtra + 120 more",54 years old,10k-50k Employees (India),Biotech & Life sciences
60,UltraTech Cement,4.3,(4.4k Reviews),Public,"Mumbai,Maharashtra + 326 more",39 years old,10k-50k Employees (India),Building Material
61,Bajaj Finance,4.1,(4.2k Reviews),Private,"Pune,Maharashtra + 593 more",35 years old,10k-50k Employees (India),Financial Services
62,Hindustan Unilev...,4.3,(4.3k Reviews),Public,"Mumbai,Maharashtra + 345 more",89 years old,10k-50k Employees (India),FMCG
63,ITC,3.9,(7.1k Reviews),Public,"Kolkata,West Bengal + 223 more",47 years old,10k-50k Employees (India),FMCG
